urban,hhsize,head_gender,s2_q10_mktcentre,s2_q19_floormat,s2_q20_wallmat,s2_q21a_powergrid,ownasset_0,ownasset_1,ownasset_2,ownasset_3,ownasset_4,s3_q5a_attendchurch,s3_q7_visitother,s53_q6_hunger,s53_q6_staple,s5_q38_worryfood,s5_q42a_meat,s5_q42b_eggs,s5_q2_receivedfood,s5_q4_rent,s7_q2_sendgift,s9_q4_hospitalvisit,s9_q11_medsoutstock,s2_q15b_schoolchildren,s2_q15c_youngchildren,s2_q21_noadults,s2_q23_anyphone,s2_q24_numchild,s2_q2_age,s4_q12_num_ent,s5_q1,s5_q39a_hungryadult,s5_q39b_hungrychild,s5_q3a_food,s5_q3b_personal,s5_q3c_durables,s5_q3d_services,s5_q3e_comms,s5_q3f_housing,s5_q3g_utilities,s5_q3h_transport,s5_q3i_medical,s5_q40a_skippedadult,s5_q40b_skippedchild,s5_q41a_nofoodadult,s5_q41b_nofoodchild,wave,sum_s4_q19_earnings,sum_s4_q19_laidoff,sum_s4_q20_profits,sum_s4_q20_salestrend,sum_s4_q20c_survive,s7_q1_receivegifthh,s4_q1_agactivity
0,6,1,-1,3,16,0,0,0,1,1,0,3,1,1,-1,1,0,0,0,-1,0,0,1,0.5714285714285714,0.0,-1.0,1,0.5714285714285714,23.0,0.0,0.0,2.0,0.0,500.0,200.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,6,1,-1,3,-1,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,2,0.5714285714285714,0.0,0.0,1,0.5714285714285714,25.0,0.0,1400.0,7.0,0.0,800.0,1200.0,3000.0,0.0,800.0,0.0,450.0,300.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0,0,2,16,1,0,1,0,0,0,3,0,0,-1,0,0,0,0,-1,0,0,1,0.3333333333333333,0.0,-1.0,1,0.3333333333333333,19.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0,0,2,-1,1,0,1,0,0,0,2,1,1,1,1,0,0,0,1,0,0,2,0.3333333333333333,0.0,0.0,1,0.3333333333333333,19.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0,0,2,11,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0.25,0.25,0.0,1,0.5,21.0,0.0,2500.0,0.0,0.0,1000.0,200.0,200.0,200.0,200.0,200.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0
0,5,0,0,2,11,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0.16666666666666666,0.16666666666666666,2.0,2,0.3333333333333333,23.0,1.0,1000.0,0.0,0.0,500.0,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2000.0,3.0,0,0
0,3,0,0,2,11,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0.25,0.25,0.0,1,-1.0,23.0,-1.0,2500.0,0.0,0.0,1800.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,6.0,6000.0,0.0,3000.0,3000.0,4.0,0,0
0,3,0,0,2,11,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0.25,0.25,0.0,1,-1.0,24.0,-1.0,1800.0,0.0,0.0,600.0,100.0,100.0,50.0,50.0,100.0,200.0,100.0,500.0,0.0,0.0,0.0,0.0,7.0,6000.0,0.0,3000.0,3000.0,4.0,0,0
1,2,1,1,2,14,1,0,1,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,1.0,3,-1.0,23.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,8.0,3000.0,0.0,1000.0,0.0,0.0,1,0
0,3,0,-1,3,1,0,0,1,1,1,0,3,0,0,-1,0,0,0,0,-1,0,0,1,0.25,0.0,-1.0,1,0.25,23.0,0.0,0.0,0.0,0.0,200.0,100.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0,-1,3,-1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.25,0.0,0.0,1,0.25,40.0,0.0,2000.0,4.0,2.0,1500.0,400.0,0.0,3000.0,450.0,450.0,0.0,600.0,6000.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0,-1,3,-1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.25,0.0,0.0,1,0.25,40.0,0.0,10000.0,0.0,0.0,3000.0,50.0,-1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,0,-1,3,7,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0.25,0.0,0.0,1,0.25,40.0,1.0,2000.0,0.0,0.0,1000.0,200.0,200.0,50.0,50.0,100.0,200.0,100.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3500.0,3.0,0,0
0,2,0,-1,2,7,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0.3333333333333333,0.0,0.0,1,-1.0,40.0,-1.0,2000.0,0.0,0.0,1000.0,340.0,0.0,200.0,350.0,0.0,500.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.0,45000.0,0.0,20000.0,0.0,1.0,-1,0
0,2,0,-1,3,5,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0.3333333333333333,0.0,0.0,1,-1.0,40.0,-1.0,700.0,0.0,0.0,800.0,350.0,0.0,280.0,200.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,65000.0,0.0,6500.0,0.0,1.0,0,0
1,1,0,1,2,14,1,0,1,1,0,0,3,0,0,-1,0,0,0,0,-1,0,0,-1,0.0,0.0,-1.0,2,0.0,19.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,99.0,99.0,1.0,0,0
1,1,0,1,2,-1,1,0,1,1,0,0,3,1,0,0,0,1,1,0,1,0,0,1,0.0,0.0,0.0,1,0.0,19.0,-1.0,20000.0,0.0,0.0,350.0,50.0,-1.0,180.0,250.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,3.0,25800.0,490.0,1500.0,0.0,50.0,0,0
1,1,0,1,2,7,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0.0,0.0,2,-1.0,20.0,-1.0,500.0,0.0,0.0,645.0,0.0,200.0,500.0,250.0,350.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,6.0,35000.0,2.0,18000.0,0.0,4.0,-1,0
1,1,0,1,7,14,1,0,1,1,0,0,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,2,-1.0,21.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,8.0,23000.0,0.0,7000.0,0.0,0.0,0,0
0,6,0,0,2,-1,1,0,1,1,1,0,2,1,0,0,1,1,0,0,1,1,0,2,0.42857142857142855,0.14285714285714285,1.0,2,0.5714285714285714,25.0,-1.0,2800.0,1.0,0.0,1700.0,1300.0,-1.0,300.0,250.0,4500.0,200.0,300.0,400.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
