,result
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,1
453,0
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,0
470,1
471,1
472,0
473,0
474,0
475,1
476,0
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,1
503,0
504,1
505,0
506,1
507,1
508,0
509,0
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,0
532,0
